Hisseler,Son,% Fark,Hacim (TL),Saat
BARMA_BAREM_AMBALAJ,7.17,-3.89,2876745.55,18:10
BASCM_BASTAS_BASKENT_CIMENTO,11.01,-1.78,1370149.58,18:10
BASGZ_BASKENT_DOGALGAZ_GMYO,41.12,-0.92,6198968.42,18:10
BAYRK_BAYRAK_TABAN_SANAYI,2.91,-4.90,14378192.43,18:10
BEGYO_BATI_EGE_GMYO,2.8,-2.78,11194426.54,18:10
BERA_BERA_HOLDING,11.52,-4.87,86750062.10,18:10
BESLR_BESLER_GIDA,11.6,-3.73,20054063.41,18:10
BESTE_BEST_BRANDS_ENERJI,21.4,-5.98,83102333.20,18:10
BETAE_BETA_ENERJI_VE_TEKNOLOJI,59.3,-3.18,371679231.90,18:10
BEYAZ_BEYAZ_FILO,18.4,-6.07,15238628.13,18:10
BFREN_BOSCH_FREN_SISTEMLERI,110.4,-3.50,16719023.60,18:10
BIENY_BIEN_YAPI_URUNLERI,15.85,-4.69,18551441.63,18:10
BIGCH_BUYUK_SEFLER_BIGCHEFS,4,-3.85,6861607.71,18:10
BIGEN_BIRLESIM_GRUP_ENERJI,75.2,-9.99,5017945.60,18:10
BIGTK_BIG_MEDYA_TEKNOLOJI,146.8,-9.99,44001997.80,18:10
BIMAS_BIM_MAGAZALAR,422.75,-2.54,2513157093.25,18:10
BINBN_BIN_ULASIM_TEKNOLOJILERI,89.2,-9.99,77965779.15,18:10
BINHO_1000_YATIRIMLAR_HOL,6.94,-1.98,199419224.17,18:10
BIOEN_BIOTREND_CEVRE_VE_ENERJI,10.01,-5.30,122306747.18,18:10
BIZIM_BIZIM_MAGAZALARI,20.6,-2.37,2080268.26,18:10
BJKAS_BESIKTAS_FUTBOL_YAT,1.62,-4.71,353671004.41,18:10
BKRGY_BAKIRCI_GMYO,5.8,-5.23,73307287.41,18:10
BLCYT_BILICI_YATIRIM,1.79,9.82,15001479.80,18:10
BLUME_BLUME_METAL_KIMYA,37,2.89,118698385.32,18:10
BMSCH_BMS_CELIK_HASIR,8.8,-5.68,7845786.25,18:10
BMSTL_BMS_BIRLESIK_METAL,42.44,-0.61,134166262.22,18:10
BNTAS_BANTAS_AMBALAJ,5.29,-3.47,10948369.89,18:10
BOBET_BOGAZICI_BETON_SANAYI,16.45,-3.35,44572557.41,18:10
BORLS_BORLEASE_OTOMOTIV,2.03,-1.93,40083004.80,18:10
BORSK_BOR_SEKER,5.68,0.35,41488000.26,18:10
BOSSA_BOSSA,6.39,-0.47,8699309.83,18:10
BRISA_BRISA,71.35,-2.26,12555756.85,18:10
BRKO_BIRKO_MENSUCAT,6.36,-9.01,5037994.10,18:10
BRKSN_BERKOSAN_YALITIM,6.4,-5.33,1490736.26,18:10
BRKVY_BIRIKIM_VARLIK_YONETIM,57.35,-7.43,24130157.35,18:10
BRLSM_BIRLESIM_MUHENDISLIK,13.05,-1.51,67168352.16,18:10
BRMEN_BIRLIK_MENSUCAT,6.66,-10.00,4738062.00,18:10
BRSAN_BORUSAN_BORU_SANAYI,647,-3.07,804851528.50,18:10
BRYAT_BORUSAN_YAT_PAZ,1500.00,-4.03,88969379.00,18:10
BSOKE_BATICIM_CIMENTO,9.4,-9.96,112238427.50,18:10
BTCIM_BATICIM_BATI_ANADOLU,2.28,-3.80,733651122.65,18:10
BUCIM_BURSA_CIMENTO,5.05,-2.32,17713527.17,18:10
BULGS_BULLS_GSYO,13.84,-9.95,47842602.24,18:10
BURCE_BURCELIK,26.32,-4.91,34918981.50,18:10
BURVA_BURCELIK_VANA,459.75,-8.69,29209861.75,18:10
BVSAN_BULBULOGLU_VINC,78.6,-6.26,57965638.90,18:10
BYDNR_BAYDONER_RESTORANLARI,21.18,-0.19,8758811.24,18:10
CANTE_CAN2_TERMIK,1.13,-3.42,253785916.73,18:10
CASA_CASA_EMTIA_PETROL,52,-5.45,568250.80,18:10
CATES_CATES_ELEKTRIK,31,-7.57,132559562.56,18:10
CCOLA_COCA_COLA_ICECEK,77,-1.09,343249798.40,18:10
CELHA_CELIK_HALAT,27.3,2.40,118426155.62,18:10
CEMAS_CEMAS_DOKUM,3.29,-6.53,19454594.19,18:10
CEMTS_CEMTAS,7.95,-1.85,18656910.16,18:10
CEMZY_CEM_ZEYTIN,8.57,1.90,536164257.54,18:10
CEOEM_CEO_EVENT_MEDYA,22.2,-9.98,65243629.38,18:10
CGCAM_CAGDAS_CAM,22.24,-5.84,42342584.44,18:10
CIMSA_CIMSA,42.3,-1.03,259113177.42,18:10
CITAS_CITLEKCI_MAGAZACILIK_GIDA,93.05,9.99,1575003276.50,18:10
CLEBI_CELEBI,1382.00,-2.54,22646909.00,18:10
CMBTN_CIMBETON,1383.00,-4.88,28170646.00,18:10
CMENT_CIMENTAS,224.9,-0.71,470884.60,18:10
CONSE_CONSUS_ENERJI,1.75,-2.78,11795772.19,18:10
COSMO_COSMOS_YAT_HOLDING,89.95,-2.23,1466814.25,18:10
CRDFA_CREDITWEST_FAKTORING,11.07,-9.93,1049535.63,18:10
CRFSA_CARREFOURSA,249.8,-5.47,547496663.75,18:10
CUSAN_CUHADAROGLU_METAL,18.86,-3.63,10668488.01,18:10
CVKMD_CVK_MADEN,14.27,3.41,1010114926.41,18:10
CWENE_CW_ENERJI,24.42,-5.05,361685771.48,18:10
DAGI_DAGI_GIYIM,5.61,-8.03,61679388.17,18:10
DAPGM_DAP_GAYRIMENKUL,4.45,1.83,438549647.62,18:10
DARDL_DARDANEL,1.22,-3.94,14218962.55,18:10
DCTTR_DCT_TRADING_DIS_TICARET,3.56,-7.77,28735117.42,18:10
DENGE_DENGE_HOLDING,1.86,-4.62,25789214.84,18:10
DERHL_DERLUKS_YATIRIM_HOLDING,1.55,-5.49,14898098.40,18:10
DERIM_DERIMOD,27.98,-5.79,9962974.94,18:10
DESA_DESA_DERI,8.78,-2.44,12908610.41,18:10
DESPC_DESPEC_BILGISAYAR,30.36,-5.83,8828237.88,18:10
DEVA_DEVA_HOLDING,96,-5.33,35040626.15,18:10
DGATE_DATAGATE_BILGISAYAR,64.8,3.68,20704799.90,18:10
DGGYO_DOGUS_GMYO,27.52,-3.37,1555499.08,18:10
DGNMO_DOGANLAR_MOBILYA,4.5,-7.02,6092112.12,18:10
DIRIT_DIRITEKS_DIRILIS_TEKSTIL,21,-4.37,2006309.46,18:10
DITAS_DITAS_BDY,9.81,-9.92,115730641.39,18:10
DMLKTG_EMLAK_KONUT_DAMLA_KENT_GMS,6.81,-1.16,31087313.31,18:10
DMRGD_DMR_UNLU_MAMULLER,9.43,3.40,1100223255.09,18:10
DMSAS_DEMISAS_DOKUM,5.5,4.96,40336499.95,18:10
DNISI_DINAMIK_ISI_MAKINA_YALITIM,4.05,-2.41,9858956.47,18:10
DOAS_DOGUS_OTOMOTIV,155.4,-1.71,57516760.50,18:10
DOCO_DO-CO,10375.00,-0.24,41435940.00,18:10
DOFER_DOFER_YAPI_MALZEMELERI,21.58,-6.01,12858755.40,18:10
DOFRB_DOF_ROBOTIK,81.5,-4.96,151922094.45,18:10
DOGUB_DOGUSAN,28.6,-9.95,1866579.00,18:10
DOHOL_DOGAN_HOLDING,20.08,-0.79,185466219.42,18:10
DOKTA_DOKTAS_DOKUMCULUK,17.43,-9.69,26441310.21,18:10
DSTKF_DESTEK_FINANS_FAKTORING,1304.00,-9.94,755016.00,18:10
DUNYH_DUNYA_HOLDING,49.5,-10.00,25811626.50,18:10
DURDO_DURAN_DOGAN_BASIM,4.65,0.65,16823794.92,18:10
DURKN_DURUKAN_SEKERLEME,11.45,-9.91,35414989.42,18:10
DYOBY_DYO_BOYA,10.86,-3.21,9733605.62,18:10
DZGYO_DENIZ_GMYO,6.7,-1.76,12454333.51,18:10
EBEBK_EBEBEK_MAGAZACILIK,80.65,-2.48,50300058.85,18:10
ECILC_ECZACIBASI_ILAC,62.6,-1.80,242641244.20,18:10
ECOGR_ECOGREEN_ENERJI,30.18,-1.05,70121168.28,18:10
ECZYT_ECZACIBASI_YATIRIM,232.9,0.56,94275070.30,18:10
EDATA_E-DATA_TEKNOLOJI,8.19,-9.90,1085944.86,18:10
EDIP_EDIP_GAYRIMENKUL,32.14,1.20,44654423.32,18:10
EFOR_EFOR_YATIRIM,13.2,-7.43,2513489264.16,18:10
EGEEN_EGE_ENDUSTRI,5712.50,0.75,470201400.00,18:10
EGEGY_EGEYAPI_AVRUPA_GMYO,16.21,-0.31,73641462.47,18:10
EGEPO_NASMED_EGEPOL,6.94,-0.57,15207846.77,18:10
EGGUB_EGE_GUBRE,99.75,-2.40,30650836.35,18:10
EGPRO_EGE_PROFIL,33.42,-3.13,21048518.92,18:10
EGSER_EGE_SERAMIK,2.62,-3.32,2882121.92,18:10
EKDMR_EKINCILER_DEMIR_CELIK,31.6,-9.61,158458276.02,18:10
EKGYO_EMLAK_KONUT_GMYO,19.58,-1.61,1690679923.72,18:10
EKIM_EKIM_TURIZM,12.9,-7.33,144342881.04,18:10
EKIZ_EKIZ_KIMYA,46.5,3.33,914365.38,18:10
EKOS_EKOS_TEKNOLOJI,3.65,-5.44,28185068.13,18:10
EKSUN_EKSUN_GIDA,4.6,-1.92,5228428.29,18:10
ELITE_ELITE_NATUREL_ORGANIK_GIDA,20.66,-1.62,11226666.24,18:10
EMKEL_EMEK_ELEKTRIK,8.32,-3.37,29909047.58,18:10
EMNIS_EMINIS_AMBALAJ,144,0.21,1006425.30,18:10
EMPAE_EMPA_ELEKTRONIK,47.02,-3.73,172062328.72,18:10
ENDAE_ENDA_ENERJI_HOLDING,14.87,0.07,47579698.69,18:10
ENERY_ENERYA_ENERJI,13.04,0.08,790630622.16,18:10
ENJSA_ENERJISA_ENERJI,105.9,-2.93,190342814.20,18:10
ENKAI_ENKA_INSAAT,86.4,-2.32,886842151.45,18:10
ENPRA_ENPARA_BANK,41.88,-2.01,1814208.84,18:10
ENSRI_ENSARI_SINAI_YATIRIMLAR,3.2,-3.90,19217819.92,18:10
ENTRA_IC_ENTERRA_YEN_ENERJI,4.21,1.45,60961190.61,18:10
EPLAS_EGEPLAST,5.62,4.46,39366669.37,18:10
ERBOS_ERBOSAN,122.2,-3.40,6434005.00,18:10
ERCB_ERCIYAS_CELIK_BORU,37.12,-3.53,15056755.18,18:10
EREGL_EREGLI_DEMIR_CELIK,37.94,-1.56,3028700144.60,18:10
ERSU_ERSU_GIDA,14.07,-5.32,12574158.94,18:10
ESCAR_ESCAR_FILO,22.08,-9.95,15798158.88,18:10
ESCOM_ESCORT_TEKNOLOJI,4.39,-6.79,60872430.65,18:10
ESEN_ESENBOGA_ELEKTRIK,2.7,-3.91,51452282.15,18:10
ETILR_ETILER_GIDA,6.12,-2.70,56544644.62,18:10
ETYAT_EURO_TREND_YAT_ORT,9.15,9.98,12194662.10,18:10
EUHOL_EURO_YATIRIM_HOLDING,8.64,9.92,5679417.60,18:10
EUKYO_EURO_KAPITAL_YAT_ORT,9.54,-10.00,16868344.48,18:10
EUPWR_EUROPOWER_ENERJI,60.3,-6.00,927904874.50,18:10
EUREN_EUROPEN_ENDUSTRI,3.04,-2.88,62762973.09,18:10
EUYO_EURO_YAT_ORT,3.7,-0.80,2351996.84,18:10
EYGYO_EYG_GMYO,2.03,-2.87,8813388.05,18:10
FADE_FADE_GIDA,11.81,-4.76,15915150.60,18:10
FENER_FENERBAHCE_FUTBOL,2.43,-3.19,145307463.60,18:10
FLAP_FLAP_KONGRE_TOPLANTI_HIZ,12,-1.56,12063868.34,18:10
FMIZP_F-M_IZMIT_PISTON,276,-2.90,46119235.25,18:10
FONET_FONET_BILGI_TEKNOLOJILERI,4.04,-4.72,40161975.83,18:10
FORMT_FORMET_METAL_VE_CAM,1.01,-6.48,53542043.55,18:10
FORTE_FORTE_BILGI_ILETISIM,94.4,-5.03,77458254.10,18:10
FRIGO_FRIGO_PAK_GIDA,1.59,-4.22,27879366.65,18:10
FRMPL_FORMUL_PLASTIK_VE_METAL,22.74,-7.11,26658465.08,18:10
FROTO_FORD_OTOSAN,77.4,-1.40,834181703.50,18:10
FZLGY_FUZUL_GMYO,6.21,-10.00,87292352.50,18:10
GARAN_GARANTI_BANKASI,129.4,-3.29,3780068459.00,18:10
