Hisseler,Son,% Fark,Hacim (TL),Saat
KRPLS_KOROPLAST_TEMIZLIK_AMBALAJ,11.4,-8.43,43582034.99,18:10
KRSTL_KRISTAL_KOLA,7.79,-2.75,24332733.55,18:10
KRTEK_KARSU_TEKSTIL,6.58,4.61,11202628.99,18:10
KRVGD_KERVAN_GIDA,2.17,3.33,49527312.53,18:10
KSTUR_KUSTUR_KUSADASI_TURIZM,2000.00,-0.99,1403326.00,18:10
KTLEV_KATILIMEVIM_TAS_FIN,14.62,-9.98,19723958.96,18:10
KTSKR_KUTAHYA_SEKER_FABRIKASI,61.45,-0.89,15392442.15,18:10
KUTPO_KUTAHYA_PORSELEN,68.65,-3.51,19080293.15,18:10
KUVVA_KUVVA_GIDA,108.2,-9.98,25479066.10,18:10
KUYAS_KUYAS_YATIRIM,33.42,-9.92,2611348586.84,18:10
KZBGY_KIZILBUK_GYO,1.44,-3.36,28547072.49,18:10
KZGYO_KUZUGRUP_GMYO,15.32,-4.25,46958109.06,18:10
LIDER_LDR_TURIZM,10.37,-9.98,4629883.53,18:10
LIDFA_LIDER_FAKTORING,1.59,-3.05,16854101.61,18:10
LILAK_LILA_KAGIT,25.42,-0.39,126507205.34,18:10
LINK_LINK_BILGISAYAR,3.83,-7.26,60167911.76,18:10
LKMNH_LOKMAN_HEKIM_SAGLIK,11.69,-3.47,12895395.87,18:10
LMKDC_LIMAK_DOGU_ANADOLU,22.2,-2.46,56554437.08,18:10
LOGO_LOGO_YAZILIM,139.8,-2.58,76887893.90,18:10
LRSHO_LORAS_HOLDING,2.02,-0.49,14033411.27,18:10
LUKSK_LUKS_KADIFE,66.4,-2.35,4715836.15,18:10
LXGYO_LUXERA_GMYO,6.61,-5.57,37527451.62,18:10
LYDHO_LYDIA_HOLDING,61.75,-9.99,2254430.75,18:10
LYDYE_LYDIA_YESIL_ENERJI,6130.00,-9.99,827550.00,18:10
MAALT_MARMARIS_ALTINYUNUS,915,-1.61,46052128.00,18:10
MACKO_MACKOLIK_INTERNET_HIZMETLERI,27.02,-2.74,19786013.24,18:10
MAGEN_MARGUN_ENERJI,17.9,-9.96,9144053.90,18:10
MAKIM_MAKIM_MAKINE,12.75,-1.92,7409473.61,18:10
MAKTK_MAKINA_TAKIM,6.8,-5.56,11799566.41,18:10
MANAS_MANAS_ENERJI_YONETIMI,16.02,-10.00,466678.62,18:10
MARBL_TUREKS_TURUNC_MADENCILIK,9.31,-6.90,10346521.61,18:10
MARMR_MARMARA_HOLDING,1.53,-3.77,39307958.47,18:10
MARTI_MARTI_OTEL,1.47,-9.82,2840358.99,18:10
MASFN_MASFEN_ENERJI,38.28,-0.73,129682935.18,18:10
MAVI_MAVI_GIYIM,37.52,-3.25,224574612.54,18:10
MCARD_METROPAL_KURUMSAL_HIZMETLER,88.55,-6.20,132613385.15,18:10
MEDTR_MEDITERA_TIBBI_MALZEME,18.99,-4.57,3210770.21,18:10
MEGAP_MEGA_POLIETILEN,1.35,-3.57,771997.71,18:10
MEGMT_MEGA_METAL,3.57,0.28,340346323.69,18:10
MEKAG_MEKA_GLOBAL_MAKINE,2.2,-4.35,9551200.97,18:10
MEPET_METRO_PETROL_VE_TESISLERI,23.06,5.30,27707345.86,18:10
MERCN_MERCAN_KIMYA,14.3,-5.92,85655013.21,18:10
MERIT_MERIT_TURIZM,14.05,-2.63,17565830.50,18:10
MERKO_MERKO_GIDA,0.97,-3.96,9522535.01,18:10
METEN_METGUN_ENERJI,18.05,-0.17,161946688.26,18:10
METRO_METRO_HOLDING,6.49,-4.56,36187538.29,18:10
MEYSU_MEYSU_GIDA,8.4,-3.23,71030322.01,18:10
MGROS_MIGROS_TICARET,528.5,-1.58,1242444867.00,18:10
MHRGY_MHR_GMYO,1.8,-3.23,5197538.02,18:10
MIATK_MIA_TEKNOLOJI,24.8,9.93,921064724.28,18:10
MMCAS_MMC_SAN_VE_TIC_YAT,18.63,-10.00,7897516.53,18:10
MNDRS_MENDERES_TEKSTIL,9.71,-3.09,27816394.04,18:10
MNDTR_MONDI_TURKEY,4.17,-3.25,3223999.15,18:10
MOBTL_MOBILTEL_ILETISIM,10.35,0.10,43095036.10,18:10
MOGAN_MOGAN_ENERJI,8.83,-1.89,101845263.88,18:10
MOPAS_MOPAS_MARKETCILIK,20.08,-2.71,21796512.12,18:10
MPARK_MLP_SAGLIK,426.5,-1.56,182239626.00,18:10
MRGYO_MARTI_GMYO,1.15,-9.45,88931478.78,18:10
MRSHL_MARSHALL,1505.00,-2.27,58373542.00,18:10
MSGYO_MISTRAL_GMYO,4.84,-2.22,5797112.04,18:10
MTRKS_MATRIKS_FINANSAL_TEKNOLOJILER,22.22,-1.77,14330645.68,18:10
MTRYO_METRO_YAT_ORT,8.46,-3.86,2287032.48,18:10
MZHLD_MAZHAR_ZORLU_HOLDING,4.64,-2.32,1972574.25,18:10
NATEN_NATUREL_ENERJI,4.24,-4.93,14426115.63,18:10
NETAS_NETAS_TELEKOM,78.75,1.16,109302097.65,18:10
NETCD_NETCAD_YAZILIM,86.25,-3.42,135280485.70,18:10
NETGL_NET_GLOBAL_ENDUSTRIYEL_YAT,24.78,-9.96,690965470.44,18:10
NIBAS_NIGBAS_NIGDE_BETON,3.23,-2.42,21710353.12,18:10
NTGAZ_NATURELGAZ,10.45,-1.69,20441128.67,18:10
NTHOL_NET_HOLDING,36.86,-3.61,68632326.64,18:10
NUGYO_NUROL_GMYO,7.63,-2.80,6554605.07,18:10
NUHCM_NUH_CIMENTO,207.1,0.88,15619633.80,18:10
OBAMS_OBA_MAKARNACILIK,4.41,-1.56,65061970.83,18:10
OBASE_OBASE_BILGISAYAR,26.1,-9.00,14955276.90,18:10
ODAS_ODAS_ELEKTRIK,6.85,-0.72,312455042.73,18:10
ODINE_ODINE_TEKNOLOJI,303.75,-10.00,516375.00,18:10
OFSYM_OFIS_YEM_GIDA,58.6,-1.43,30273703.85,18:10
ONCSM_ONCOSEM_ONKOLOJIK_SISTEMLER,81,-3.97,271351431.80,18:10
ONRYT_ONUR_TEKNOLOJI,10.36,-3.00,33348631.24,18:10
ORCAY_ORCAY_ORTAKOY_CAY_SANAYI,2.46,-3.53,3879901.08,18:10
ORGE_ORGE_ENERJI_ELEKTRIK,22.56,-1.48,146883673.54,18:10
ORMA_ORMA_ORMAN_MAHSULLERI,143.4,8.64,1550590.20,18:10
ORZAX_ORZAKS_ILAC,74.3,-3.00,111909440.50,18:10
OSMEN_OSMANLI_MENKUL,5.24,-6.09,13155048.83,18:10
OSTIM_OSTIM_ENDUSTRIYEL_YAT,1.34,-4.29,12262294.71,18:10
OTKAR_OTOKAR,306,-3.09,101449877.00,18:10
OTTO_OTTO_HOLDING,92,0.82,43082713.50,18:10
OYAKC_OYAK_CIMENTO,20.9,-1.23,298921566.96,18:10
OYAYO_OYAK_YAT_ORT,36.42,-4.76,2564376.62,18:10
OYLUM_OYLUM_SINAI_YATIRIMLAR,6,-4.46,2107256.88,18:10
OYYAT_OYAK_YATIRIM_MENKUL,30.06,-2.97,48639263.42,18:10
OZATD_OZATA_DENIZCILIK,2388.00,-9.97,291336.00,18:10
OZGYO_OZDERICI_GMYO,1.61,-5.29,18826687.29,18:10
OZKGY_OZAK_GMYO,12.18,-1.38,40735782.76,18:10
OZRDN_OZERDEN_AMBALAJ,22,-5.34,6665388.50,18:10
OZSUB_OZSU_BALIK,37.92,-2.87,66251180.12,18:10
OZYSR_OZYASAR_TEL,11.22,-3.69,22766487.78,18:10
PAGYO_PANORA_GMYO,116.8,-5.96,8817845.70,18:10
PAHOL_PASIFIK_HOLDING,0.96,-3.03,166466872.63,18:10
PAMEL_PAMEL_ELEKTRIK,49.22,-5.26,11591691.88,18:10
PAPIL_PAPILON_SAVUNMA,8.15,-6.75,40265998.72,18:10
PARSN_PARSAN,61,-3.48,11872619.70,18:10
PASEU_PASIFIK_EURASIA_LOJISTIK,36.42,-9.99,17482474.08,18:10
PATEK_PASIFIK_TEKNOLOJI,15.91,4.46,595960546.02,18:10
PCILT_PC_ILETISIM_MEDYA,31.08,0.78,39984076.44,18:10
PEKGY_PEKER_GMYO,5.62,-9.94,2730960.32,18:10
PENGD_PENGUEN_GIDA,7.67,-2.79,43510738.40,18:10
PENTA_PENTA_TEKNOLOJI_URUNLERI_DAGITIM,10.23,-3.31,17809983.82,18:10
PETKM_PETKIM,22,-4.35,2862763682.60,18:10
PETUN_PINAR_ET_VE_UN,10.5,-3.31,34614225.42,18:10
PGSUS_PEGASUS,145.7,-3.06,787543473.40,18:10
PINSU_PINAR_SU,9.21,1.66,74047871.01,18:10
PKART_PLASTIKKART,87.5,-3.37,18208082.25,18:10
PKENT_PETROKENT_TURIZM,98.25,-5.26,11828272.10,18:10
PLTUR_PLATFORM_TURIZM,16.18,-4.71,29453154.47,18:10
PNLSN_PANELSAN_CATI_CEPHE,33.52,-1.30,9197893.86,18:10
PNSUT_PINAR_SUT,10.5,-3.67,51284820.73,18:10
POLHO_POLISAN_HOLDING,18.8,-3.54,17259443.07,18:10
POLTK_POLITEKNIK_METAL,3175.00,-4.51,18194472.50,18:10
PRDGS_PARDUS_GIRISIM,3.95,-2.47,13786587.50,18:10
PRKAB_TURK_PRYSMIAN_KABLO,26.12,-2.54,9406478.64,18:10
PRKME_PARK_ELEKMADENCILIK,14.79,-6.39,20997703.34,18:10
PRZMA_PRIZMA_PRESS_MATBAACILIK,33.48,-10.00,92639.16,18:10
PSDTC_PERGAMON_DIS_TICARET,93.55,-8.01,44303324.65,18:10
PSGYO_PASIFIK_GMYO,1.89,0.53,206299287.31,18:10
QNBFK_QNB_FINANSAL_KIRALAMA,36.62,-2.19,608822.44,18:10
QNBTR_QNB_BANK,166,0.97,1171019.00,18:10
QUAGR_QUA_GRANITE_HAYAL_YAPI,2.06,-9.65,86647909.25,18:10
QUICK_QUICK_SIGORTA,44.14,-9.99,235045612.84,18:10
RALYH_RAL_YATIRIM_HOLDING,130,-9.97,3795480.00,18:10
RAYSG_RAY_SIGORTA,128.6,-5.99,17739156.00,18:10
REEDR_REEDER_TEKNOLOJI,4.03,0,148494797.52,18:10
RGYAS_RONESANS_GAYRIMENKUL_YAT,195.1,-1.27,184445061.70,18:10
RNPOL_RAINBOW_POLIKARBONAT,1.99,2.05,4985770.43,18:10
RODRG_RODRIGO_TEKSTIL,17.5,-2.23,1888925.55,18:10
RTALB_RTA_LABORATUVARLARI,1.98,-6.60,31621718.89,18:10
RUBNS_RUBENIS_TEKSTIL,22.32,-6.77,63209016.80,18:10
RUZYE_RUZY_MADENCILIK_VE_ENERJI,5.22,-6.45,21417314.76,18:10
RYGYO_REYSAS_GMYO,49.26,-0.12,78005868.27,18:10
RYSAS_REYSAS_LOJISTIK,27.26,0.89,318332855.92,18:10
SAFKR_SAFKAR_EGE_SOGUTMACILIK,10.93,1.02,33832892.25,18:10
SAHOL_SABANCI_HOLDING,88.2,-3.18,2260077943.50,18:10
SAMAT_SARAY_MATBAACILIK,4.28,-5.93,3201166.04,18:10
SANEL_SANEL_MUHENDISLIK,43.18,-0.78,10290377.56,18:10
SANFM_SANIFOAM_ENDUSTRI,4.71,-3.09,50114610.93,18:10
SANKO_SANKO_PAZARLAMA,17.88,-2.40,5217618.93,18:10
SARAE_SA-RA_ENERJI,43.3,-9.98,801096258.90,18:10
SARKY_SARKUYSAN,21.22,-4.33,43576348.78,18:10
SASA_SASA_POLYESTER,2.11,-6.64,5140891966.68,18:10
SAYAS_SAY_YENILENEBILIR_ENERJI,44.54,-5.19,54376045.26,18:10
SDTTR_SDT_UZAY_VE_SAVUNMA,16.5,-4.84,92973363.88,18:10
SEGMN_SEGMEN_KARDESLER_GIDA,26.22,-4.65,28972974.10,18:10
SEGYO_SEKER_GMYO,2.81,-6.02,6478130.28,18:10
SEKFK_SEKER_FIN_KIR,4.08,-2.16,1535369.94,18:10
SEKUR_SEKURO_PLASTIK,4.37,-9.90,1426962.32,18:10
SELEC_SELCUK_ECZA_DEPOSU,139.9,-9.97,618358.00,18:10
SELVA_SELVA_GIDA,1.18,-4.84,15338829.34,18:10
SERNT_SERANIT_GRANIT_SERAMIK,5.62,-3.10,20756888.67,18:10
SEYKM_SEYITLER_KIMYA,2.94,-2.65,3512290.75,18:10
SILVR_SILVERLINE_ENDUSTRI,1.75,-2.78,2002581.57,18:10
SISE_SISE_CAM,39.14,-3.12,1304876001.88,18:10
SKBNK_SEKERBANK,5.28,-4.69,277631220.10,18:10
SKTAS_SOKTAS,2.49,-4.60,14692938.39,18:10
SKYLP_SKYALP_FINANSAL_TEKNOLOJILER,75.65,-9.99,596122.00,18:10
SKYMD_SEKER_YATIRIM,15.71,1.09,66790636.70,18:10
SMART_SMARTIKS_YAZILIM,17.14,-3.98,11123068.07,18:10
SMRTG_SMART_GUNES_ENERJISI_TEK,4.9,-9.93,315890405.88,18:10
SMRVA_SUMER_VARLIK_YONETIM,7.29,-3.83,24683348.48,18:10
SNGYO_SINPAS_GMYO,2.75,-1.43,64799422.93,18:10
SNICA_SANICA_ISI_SANAYI,2.45,-5.04,18505962.03,18:10
SNPAM_SONMEZ_PAMUKLU,19,1.17,933742.93,18:10
SODSN_SODAS_SODYUM_SANAYII,6.07,-0.82,234980.02,18:10
SOHOE_SOHO_GIYIM_VE_ENERJI,7.85,-5.31,51663945.43,18:10
SOKE_SOKE_DEGIRMENCILIK,7.9,-2.47,13948159.50,18:10
SOKM_SOK_MARKETLER_TICARET,57.5,-1.79,148492444.50,18:10
SONME_SONMEZ_FILAMENT,123.7,-0.96,2921905.60,18:10
SRVGY_SERVET_GMYO,2.19,-0.90,19927855.65,18:10
SSAAT_SAAT_VE_SAAT_SANAYI,27.64,-3.02,32825618.72,18:10
SUMAS_SUMAS_SUNI_TAHTA,212.2,1.05,404020.30,18:10
SUNTK_SUN_TEKSTIL,25.1,-5.21,6822925.92,18:10
SURGY_SUR_TATIL_EVLERI_GMYO,21.66,-6.96,40573258.38,18:10
SUWEN_SUWEN_TEKSTIL,5.16,0,38193449.34,18:10
SVGYO_SAVUR_GMYO,7.46,-9.90,190513.48,18:10
TABGD_TAB_GIDA,215,-3.37,107954043.10,18:10
TARKM_TARKIM_BITKI_KORUMA,396,-2.94,31945376.25,18:10
TATEN_TATLIPINAR_ENERJI_URETIM,4.84,-3.39,56779177.52,18:10
TATGD_TAT_GIDA,16.7,-1.88,15999962.02,18:10
TAVHL_TAV_HAVALIMANLARI,272,-3.20,675890515.25,18:10
TBORG_TTUBORG,127.9,-0.08,16028907.30,18:10
TCELL_TURKCELL,99.45,-1.34,1149055275.40,18:10
TCKRC_KIRAC_GALVANIZ,123.4,-4.19,396104450.50,18:10
TDGYO_TREND_GMYO,10.8,-10.00,33873879.34,18:10
TEHOL_TERA_YATIRIM_TEK_HOL,22.9,-9.98,1865663.00,18:10
TEKTU_TEK-ART_TURIZM,4.89,-4.68,26755376.07,18:10
TERA_TERA_YATIRIM_MENKUL_DEGERLER,107.3,-9.98,4553060.90,18:10
TEZOL_EUROPAP_TEZOL_KAGIT,7.41,-5.61,29938165.99,18:10
TGSAS_TGS_DIS_TICARET,101.6,-7.64,188912938.50,18:10
THYAO_TURK_HAVA_YOLLARI,288.5,-3.35,7722325844.00,18:10
TKFEN_TEKFEN_HOLDING,274,3.01,2354673984.50,18:10
TKNKA_TEKNIKA_PLASTIK,75.1,-9.95,10047553.90,18:10
TKNSA_TEKNOSA_IC_VE_DIS_TICARET,14.3,-2.26,27536618.87,18:10
TLMAN_TRABZON_LIMAN,64.7,-3.14,10821961.95,18:10
TMPOL_TEMAPOL_POLIMER_PLASTIK,138.1,-9.97,709281.60,18:10
TMSN_TUMOSAN_MOTOR_VE_TRAKTOR,63.55,-1.01,55942368.20,18:10
TNZTP_TAPDI_TINAZTEPE,27.44,-4.12,62559565.74,18:10
TOASO_TOFAS_OTO_FAB,279.5,0.18,728972262.25,18:10
TRALT_TURK_ALTIN_ISLETMELERI,48.4,-3.49,3030888945.17,18:10
TRCAS_TURCAS_HOLDING,46.12,0.04,17076719.10,18:10
TRENJ_TR_DOGAL_ENERJI,101.3,-3.71,118839149.80,18:10
TRGYO_TORUNLAR_GMYO,91,-1.73,67109659.10,18:10
TRHOL_TERA_FINANSAL_YAT_HOL,2155.00,-9.98,1935190.00,18:10
TRILC_TURK_ILAC_SERUM,0.91,-2.15,1601412.08,18:10
TRMET_TR_ANADOLU_METAL_MADENCILIK,138.1,-3.29,980050626.90,18:10
TSGYO_TSKB_GMYO,5.14,-1.15,5303212.75,18:10
TSKB_TSKB,10.45,-2.97,188681413.89,18:10
TSPOR_TRABZONSPOR_SPORTIF,0.9,0,110103350.34,18:10
TTKOM_TURK_TELEKOM,54.55,0.09,1322209906.90,18:10
TTRAK_TURK_TRAKTOR,407.5,-1.51,23736147.75,18:10
TUCLK_TUGCELIK,3.98,-2.69,37584380.19,18:10
TUKAS_TUKAS,2.33,-0.43,787999245.48,18:10
TUPRS_TUPRAS,410.75,-0.06,6360940705.00,18:10
TUREX_TUREKS_TURIZM_TASIMACILIK,5.55,-0.54,172943796.78,18:10
TURGG_TURKER_PROJE_GAYRIMENKUL,24.88,-6.11,16920775.62,18:10
TURSG_TURKIYE_SIGORTA,5.93,-1.50,498756929.87,18:10
UCAYM_UCAY_MUHENDISLIK,16.3,-7.07,50262353.52,18:10
UFUK_UFUK_YATIRIM,668,-9.97,5400112.00,18:10
ULAS_ULASLAR_TURIZM_YAT,16.41,-3.75,1824053.69,18:10
ULKER_ULKER_BISKUVI,87.5,-2.94,288537438.10,18:10
ULUFA_ULUSAL_FAKTORING,1.51,0.67,21473848.57,18:10
ULUSE_ULUSOY_ELEKTRIK,172.2,-5.90,31325971.70,18:10
ULUUN_ULUSOY_UN_SANAYI,6.95,-2.39,24408608.47,18:10
UMPAS_UMPAS_HOLDING,9.3,0,0,18:10
UNLU_UNLU_YATIRIM_HOLDING,14.69,9.96,378362575.55,18:10
USAK_USAK_SERAMIK,0.73,-9.88,42649287.13,18:10
USHOL_US_YATIRIM_HOLDING,60.85,-5.80,33201841.20,18:10
VAKBN_VAKIFLAR_BANKASI,33.78,-1.92,1173389209.58,18:10
VAKFA_VAKIF_FAKTORING,9.67,-2.91,34294441.78,18:10
VAKFN_VAKIF_FIN_KIR,0.99,-2.94,40640294.38,18:10
VAKKO_VAKKO_TEKSTIL,62.15,-2.66,11081904.85,18:10
VANGD_VANET_GIDA,60.2,-4.06,10321965.95,18:10
VBTYZ_VBT_YAZILIM,27.4,-3.99,31709000.64,18:10
VERTU_VERUSATURK_GIRISIM,26.3,-4.57,5887439.34,18:10
VERUS_VERUSA_HOLDING,406.75,-3.90,14528489.50,18:10
VESBE_VESTEL_BEYAZ_ESYA,4.68,-4.68,66664675.88,18:10
VESTL_VESTEL,21.02,-5.66,160380189.68,18:10
VEYAS_TURKER_VANGOLU_ENERJI,84.85,-2.13,184501399.90,18:10
VKFYO_VAKIF_YAT_ORT,18.3,-3.79,2383358.83,18:10
VKGYO_VAKIF_GMYO,1.7,-2.86,22957289.08,18:10
VKING_VIKING_KAGIT,16.47,-1.44,15469727.20,18:10
VRGYO_VERA_KONSEPT_GMYO,1.15,-4.17,13674482.39,18:10
VSNMD_VISNE_MADENCILIK,30.36,-4.41,33417260.94,18:10
YAPRK_YAPRAK_SUT_VE_BESI_CIFT,9.25,-4.15,41721916.76,18:10
YATAS_YATAS,26.3,-3.38,22527990.62,18:10
YAYLA_YAYLA_EN_UR_TUR_VE_INS,15.49,-4.68,12234133.08,18:10
YBTAS_YIBITAS_INSAAT_MALZEME,10.9,-1.98,340230.65,18:10
YEOTK_YEO_TEKNOLOJI_ENERJI,29.48,-9.01,515579337.74,18:10
YESIL_YESIL_YATIRIM_HOLDING,0.89,-3.26,11665059.38,18:10
YGGYO_YENI_GIMAT_GMYO,204.3,-5.77,41086496.30,18:10
YIGIT_YIGIT_AKU,18.42,0.49,47549796.10,18:10
YKBNK_YAPI_VE_KREDI_BANK,35.7,-3.20,3630671634.08,18:10
YKSLN_YUKSELEN_CELIK,2.55,-6.25,104220859.02,18:10
YONGA_YONGA_MOBILYA,33.66,-1.23,419102.40,18:10
YUNSA_YUNSA,6.48,-3.86,19301282.99,18:10
YYAPI_YESIL_YAPI,0.61,-4.69,1643589.63,18:10
YYLGD_YAYLA_GIDA,8.55,-4.04,41786230.89,18:10
ZEDUR_ZEDUR_ENERJI,5.91,-3.90,3272184.61,18:10
ZERGY_ZERAY_GMYO,7.4,-5.13,36719623.78,18:10
ZGYO_Z_GMYO,16.21,9.97,234721886.97,18:10
ZOREN_ZORLU_ENERJI,2.05,-6.39,116676428.80,18:10
ZRGYO_ZIRAAT_GMYO,19,0.26,67414184.19,18:10
